l2_province,l3_city,l3_city_id,longitude,latitude,,,,,,,,,
Jawa Timur,Kediri,65743f05-096b-4d6c-a990-b0210620a0f3,112.11667,-7.78333,,,,,,,,,
Jawa Timur,Lamongan,8af5007c-8c35-4446-9e82-cc2fed3d6f73,112.31667,-7.13333,,,,,,,,,
Jawa Timur,Lumajang,f7ac9156-2251-4bba-96fc-8c0560d51742,113.13333,-8.13333,,,,,,,,,
Jawa Timur,Madiun,047e48de-9e13-4356-8560-93e25caceb06,111.64556,-7.62417,,,,,,,,,
Jawa Timur,Madiun,3ad6c34a-50ae-4805-9630-9cb1af3af63a,111.52778,-7.62722,,,,,,,,,
Jawa Timur,Magetan,e72485af-115a-4376-89d0-1ece7bc0eda9,111.35917,-7.64472,,,,,,,,,
Jawa Timur,Malang,62fd1074-336e-4479-8425-b578fe3a03d0,112.66667,-8.2,,,,,,,,,
Jawa Timur,Malang,6ec28332-761a-4ee9-b0d8-52171a170edf,112.63333,-7.98333,,,,,,,,,
Jawa Timur,Mojokerto,dc8752a0-6680-48e6-9eb5-c29790ecc707,112.48333,-7.55,,,,,,,,,
Jawa Timur,Mojokerto,e415848f-f28a-4575-86b0-581adf9f67e4,112.43333,-7.46667,,,,,,,,,
Jawa Timur,Nganjuk,e3b27e26-d021-43dd-9515-7bf5220e50f2,111.95,-7.56667,,,,,,,,,
Jawa Timur,Ngawi,9bf80e18-9e87-404e-ab79-444538f40175,111.33444,-7.47444,,,,,,,,,
Jawa Timur,Pacitan,24fc8f9c-1336-462f-8f89-9af45f3abebc,111.17806,-8.125,,,,,,,,,
Jawa Timur,Pamekasan,2870639f-6921-46e1-9227-06747cdbe174,113.5,-7.06667,,,,,,,,,
Jawa Timur,Pasuruan,3efbb56b-acd8-47b7-b8c6-aff1268caf8d,112.83333,-7.75,,,,,,,,,
Jawa Timur,Pasuruan,c3c7f6dd-6a25-4742-8cb8-9e4ef7f528df,112.9,-7.65,,,,,,,,,
Jawa Timur,Ponorogo,d10bb4c6-c3fa-489f-9a7d-8058ce3eedeb,111.5,-7.93333,,,,,,,,,
Jawa Timur,Probolinggo,39b2e54c-ee18-4e84-ab0e-f2020c58d64b,113.3,-7.85,,,,,,,,,
Jawa Timur,Probolinggo,b4ff2e2e-424a-4a44-9aca-3171cd9b5a84,113.20528,-7.775,,,,,,,,,
Jawa Timur,Sampang,ce800d2d-6905-4333-97d9-f297e6d0b115,113.25,-7.05,,,,,,,,,
Jawa Timur,Sidoarjo,0c51be85-7a6e-4fe6-b802-4bbec5d5dcda,112.7,-7.45,,,,,,,,,
Jawa Timur,Situbondo,5484dab3-0aa4-4f22-9e50-1aff2c1ee29e,114.03333,-7.68333,,,,,,,,,
Jawa Timur,Sumenep,0d43961c-e667-48f3-9c63-125b79fe8625,113.81667,-6.98333,,,,,,,,,
Jawa Timur,Surabaya,0822446a-8784-4af4-bc88-9f9294fca382,112.71667,-7.275,,,,,,,,,
Jawa Timur,Trenggalek,ee40d220-096b-4dd4-9f48-2857fd99e66b,111.62639,-8.15972,,,,,,,,,
Jawa Timur,Tuban,18b52378-af35-4fa3-9917-ac8ce51fe30a,111.88333,-6.95,,,,,,,,,
Jawa Timur,Tulungagung,4a771364-1ef3-411f-a0c0-abc13b7f7201,111.91667,-8.13333,,,,,,,,,
Kalimantan Barat,Bengkayang,55417efa-f26e-4902-aa54-5562475f23f0,109.66393,1.06911,,,,,,,,,
Kalimantan Barat,Kapuas Hulu,0ed7cc32-4ec3-4e94-87a8-1360731848d3,112.8,0.83333,,,,,,,,,
Kalimantan Barat,Kayong Utara,58fec115-306a-407f-8045-e75e8842643c,110.10402,-1.06023,,,,,,,,,
Kalimantan Barat,Ketapang,71250e54-f3db-4d26-ba4c-aa9f050bfb0a,110.56667,-1.58333,,,,,,,,,
Kalimantan Barat,Kubu Raya,32c1ca11-9eee-4456-837c-321ba1d38d97,109.51865,-0.31924,,,,,,,,,
Kalimantan Barat,Landak,83b08dc3-7a3f-4573-a2b0-b06da2b62f2a,109.75917,0.42373,,,,,,,,,
Kalimantan Barat,Melawi,a2788fc8-f252-40ae-a542-10a8b41d3749,111.698,-0.33617,,,,,,,,,
Kalimantan Barat,Mempawah,68e5a7ea-d8ad-417b-9426-538d74ed734d,109.16667,0.25,,,,,,,,,
Kalimantan Barat,Pontianak,d6e23064-c4ac-47ca-9e77-1ee297160461,109.33146,0.00832,,,,,,,,,
Kalimantan Barat,Sambas,50f46107-053c-433b-8147-9152c594b430,109.35,1.43333,,,,,,,,,
Kalimantan Barat,Sanggau,05614c2f-f665-46b3-9e50-b3bfb2806fa8,110.46667,0.21667,,,,,,,,,
Kalimantan Barat,Sekadau,e890e485-3233-4740-8510-ecdd10602369,110.95066,0.03485,,,,,,,,,
Kalimantan Barat,Singkawang,c2afea99-4f22-496e-b9b7-f0d975149b2d,109.00103,0.90734,,,,,,,,,
Kalimantan Barat,Sintang,f2fcd247-aef4-4420-a25d-7a8c4b9d56b8,112.08333,-0.08333,,,,,,,,,
Kalimantan Selatan,Balangan,e449315c-1123-4688-8e03-1a261bab07db,115.62922,-2.32314,,,,,,,,,
